id,coin_rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,marketCap_to_supply
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,132192.77886692,0.0,13434721021.851652,32244446.69172436,101629.7647799396,2.8120198143948865,100625.88431800526,101629.7647799396
polkadot,17,DOT,Polkadot,1522267060.0,0.0,11924509599.110285,149195981.3304362,7.833388708490009,1.619932359353947,7.759806132289953,7.83338870849001
sp8de,18,SPX,Sp8de,7783756906.18,0.0,11177325535.363928,25047555.865411684,1.4359808085077228,-4.299319457581412,1.5591586095789405,1.4359808085077228
bitcoin-cash,19,BCH,Bitcoin Cash,19812415.625,21000000.0,9444363925.725916,78817912.81048721,476.68916827126753,1.041662371807479,478.42037054396815,476.6891682712676
uniswap,20,UNI,Uniswap,600483073.71,0.0,8972952066.619987,149362023.46570978,14.94288924945356,-1.1109901650944836,15.082007128223555,14.942889249453557
litecoin,21,LTC,Litecoin,75392112.05410936,84000000.0,8529257126.104004,264575241.3684708,113.13195629779553,0.0353776212103675,113.9889659989268,113.13195629779553
near-protocol,22,NEAR,NEAR Protocol,1169003374.0,0.0,6949819596.815546,83028407.08690582,5.945080870926166,0.4633934871272981,5.9843555709360485,5.945080870926166
internet-computer,23,ICP,Internet Computer,478729084.7667166,0.0,5872906322.745002,47350634.84893479,12.267703195027002,2.0157769218517303,12.17547656936454,12.267703195027002
multi-collateral-dai,24,DAI,Multi Collateral DAI,5365382702.664872,0.0,5370487433.68098,22837382.44575908,1.0009514197400258,0.0961311693558278,1.0005297129292594,1.0009514197400255
aave,25,AAVE,Aave,15041132.36612025,0.0,5062695002.719646,130344159.6094549,336.59001725981966,-0.862285551058378,342.7706311948397,336.5900172598196
hedera-hashgraph,26,HBAR,Hedera Hashgraph,14832756028.0,50000000000.0,4802628191.598592,238789745.8975036,0.3237852886228698,7.111599705120456,0.3129849412661067,0.3237852886228698
ethereum-classic,27,ETC,Ethereum Classic,150253239.12885377,210700000.0,4323673645.586184,62735404.65450926,28.77590972849709,2.089131746541303,28.53215615590401,28.775909728497094
vechain,28,VET,VeChain,80985041177.0,86712634466.0,4228371734.784248,37346145.860464215,0.0522117624851578,2.75549372133591,0.0525289427959353,0.0522117624851578
crypto-com-coin,29,CRO,Crypto.com Coin,25263013692.0,30263013692.0,4067729674.6528616,11285686.45537532,0.1610152187005695,1.0062059252232405,0.1621882037136976,0.1610152187005695
fetch,30,FET,Artificial Superintelligence Alliance,2520000000.0,2630547141.0,3957113881.7031856,108844960.35565165,1.570283286390153,-0.8145242517244525,1.5914891638053976,1.570283286390153
filecoin,31,FIL,Filecoin,619828617.0,0.0,3746107439.591464,115238144.44277464,6.043779420386883,-0.0164776973373892,6.023136698149775,6.043779420386884
monero,32,XMR,Monero,18446744.07370955,0.0,3723227585.247137,38604211.07916381,201.83657182914524,-0.2399882004389118,203.8459654911684,201.83657182914524
algorand,33,ALGO,Algorand,8342484981.646911,10000000000.0,3500047918.418772,100281247.62150332,0.41954500680777,3.5623479642407254,0.4167607276860301,0.41954500680777
okb,34,OKB,OKB,60000000.0,0.0,3049359094.980284,378890.37425616384,50.82265158300473,0.6757295195636425,50.591818963621,50.822651583004735
stacks,35,STX,Stacks,1507932781.96962,1818000000.0,2693188661.915499,20409542.85434598,1.7860137362341384,0.3817791972717312,1.8071879113046208,1.7860137362341382
